name,team,league,goals,assists,matches_played
Erling Haaland,Unknown,premier_league,35,0,27
Igor Thiago,Unknown,premier_league,37,0,22
Antoine Semenyo,Unknown,premier_league,36,0,16
João Pedro,Unknown,premier_league,34,0,15
Morgan Gibbs-White,Unknown,premier_league,36,0,14
Ollie Watkins,Unknown,premier_league,36,0,14
Viktor Gyökeres,Unknown,premier_league,35,0,14
Dominic Calvert-Lewin,Unknown,premier_league,34,0,14
Danny Welbeck,Unknown,premier_league,36,0,13
Junior Kroupi,Unknown,premier_league,32,0,13
Richarlison,Unknown,premier_league,31,0,11
Hugo Ekitiké,Unknown,premier_league,28,0,11
Benjamin Sesko,Unknown,premier_league,30,0,11
Jean-Philippe Mateta,Unknown,premier_league,31,0,11
Morgan Rogers,Unknown,premier_league,37,0,10
Harry Wilson,Unknown,premier_league,35,0,10
Enzo Fernández,Unknown,premier_league,35,0,10
Matheus Cunha,Unknown,premier_league,33,0,10
Bryan Mbeumo,Unknown,premier_league,32,0,10
Zian Flemming,Unknown,premier_league,28,0,10
Bruno Guimarães,Unknown,premier_league,28,0,9
Raúl Jiménez,Unknown,premier_league,35,0,9
Casemiro,Unknown,premier_league,34,0,9
Beto,Unknown,premier_league,36,0,9
Ismaïla Sarr,Unknown,premier_league,27,0,9
Kylian Mbappé,Unknown,la_liga,30,0,24
Vedat Muriqi,Unknown,la_liga,36,0,22
Ante Budimir,Unknown,la_liga,36,0,17
Lamine Yamal,Unknown,la_liga,28,0,16
Vinicius Junior,Unknown,la_liga,36,0,16
Ferran Torres,Unknown,la_liga,32,0,16
Mikel Oyarzabal,Unknown,la_liga,33,0,15
Borja Iglesias,Unknown,la_liga,34,0,14
Toni Martínez,Unknown,la_liga,36,0,13
Robert Lewandowski,Unknown,la_liga,30,0,13
Raphinha,Unknown,la_liga,22,0,13
Alexander Sørloth,Unknown,la_liga,34,0,13
Georges Mikautadze,Unknown,la_liga,31,0,12
Cucho Hernández,Unknown,la_liga,31,0,11
Lucas Boyé,Unknown,la_liga,28,0,11
Alberto Moleiro,Unknown,la_liga,36,0,10
Akor Adams,Unknown,la_liga,31,0,10
Jorge de Frutos,Unknown,la_liga,35,0,10
Hugo Duro,Unknown,la_liga,35,0,10
André Silva,Unknown,la_liga,30,0,10
Carlos Espí,Unknown,la_liga,24,0,10
Gerard Moreno,Unknown,la_liga,22,0,10
Abde Ezzalzouli,Unknown,la_liga,28,0,9
Gorka Guruzeta,Unknown,la_liga,34,0,9
Ferran Jutglà,Unknown,la_liga,29,0,9
